NACE Rev. 2.1 – Vollbaum · Framework v7 · Supplier-centric · Kunden-Perspektive;;;;;;;;;;;;;;;;
Alle Klassen = Anbieter · C2+C3 = Perspektive der Kunden dieser Anbieter · C5=K.O. (kein Scoring-Kriterium mehr);;;;;;;;;;;;;;;;
Blau = vom Nutzer aenderbar · Score-Formel in Spalte M · K.O.-Flag in Spalte P;;;;;;;;;;;;;;;;
Abschn.;Abt.;Gruppe;Klasse;Bezeichnung (EN);"Aktivitaet
(Kurzform DE)";"C1
Projekt-
spez.
(1-3)";"C2
Markt-
transp.
(1-3)";"C3
Kunden-
profil
(1-3)";"C4
Supplier
Fragm.
(1-3)";"C6
Markt-
groesse
(1-3)";"C7
Kein
Matching
(1-3)";"Score
/10";Ampel;Empfehlung;"K.O.-
Flag";Hinweis / Kunden-Perspektive
ABSCHNITT A – Agriculture, Forestry and Fishing;;;;;;;;;;;;;;;;
;Abt. 01;;;;;;;;;;;;;;;
A;01;01.1;01.11;Growing of cereals (exc. rice), leguminous crops, oil seeds;;1;1;1;2;1;2;4,3;MID;Pruefen;;Getreide: Kunden sind professionelle Lebensmittelkonzerne mit PSL | Getreide: Precision-Farming-Systeme, Saatgut-Entwicklung – kleines B2B-Projektvolumen
A;01;01.1;01.12;Growing of rice;;1;1;1;2;1;2;4,3;MID;Pruefen;;Reisanbau: aehnlich Getreide – sehr nische in EU
A;01;01.1;01.13;Growing of vegetables, melons, roots and tubers;;2;1;1;2;1;2;5,2;MID;Pruefen;;Gemuese: Gewaechshaus-Engineering, Bewaesserungssysteme – Einzel-Projekte
A;01;01.1;01.14;Growing of sugar cane;;0;0;0;0;0;0;0,0;---;---;;Kein EU-Markt
A;01;01.1;01.15;Growing of tobacco;;1;1;1;1;1;2;3,8;LO;Niedrig;;Tabak: auslaufend, kaum Projektnachfrage
A;01;01.1;01.16;Growing of fibre crops;;2;2;2;3;1;2;6,9;MID;Prio 2 GUT;;Technische Fasern: Kunden sind Textil-/Composites-Hersteller, gelegentlich | Naturfasern (Hanf, Flachs): wachsende Nachfrage fuer Composites – Spezialentwicklung
A;01;01.1;01.19;Growing of other non-perennial crops;;1;1;1;2;1;2;4,3;MID;Pruefen;;Sonderkulturen: Engineering-Projekte fuer Automatisierung moeglich
A;01;01.2;01.21;Growing of grapes;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Wein: Kunden sind Händler/Importeure, teils professionell | Weinbau: Kellerei-Engineering, Praezisionslandwirtschaft – Projekte
A;01;01.2;01.22;Growing of tropical and subtropical fruits;;1;1;1;2;1;2;4,3;MID;Pruefen;;Tropenfruechte: kaum EU-Markt
A;01;01.2;01.23;Growing of citrus fruits;;1;1;1;2;1;2;4,3;MID;Pruefen;;Zitrusfruechte: Suedeuropa – Bewaesserungsprojekte
A;01;01.2;01.24;Growing of pome fruits and stone fruits;;1;2;2;2;1;2;5,6;MID;Pruefen;;Obstbau: Automatisierungsprojekte moeglich
A;01;01.2;01.25;Growing of other tree and bush fruits and nuts;;1;2;2;2;1;2;5,6;MID;Pruefen;;Beerenobst/Nuesse: Spezialerntetechnik
A;01;01.2;01.26;Growing of oleaginous fruits;;1;1;1;2;1;2;4,3;MID;Pruefen;;Oelpflanzen: Olivenanbau-Engineering
A;01;01.2;01.27;Growing of beverage crops;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Tee/Kaffee EU-Anbau: sehr nische
A;01;01.2;01.28;Growing of spices, aromatic, drug and pharmaceutical crops;;2;3;3;3;1;2;8,1;HI;Prio 1 TOP;;Med-Cannabis/Heilpflanzen: Kunden sind Pharma/Biotech, Einmal-Projekte | Pharma-Pflanzen (Hanf/Heilpflanzen): Anbauoptimierung, GMP-Anforderungen – echtes Projektgeschaeft
A;01;01.2;01.29;Growing of other perennial crops;;1;1;1;2;1;2;4,3;MID;Pruefen;;Sonstige Dauerkulturen
A;01;01.3;01.30;Plant propagation;;2;2;2;3;1;2;6,9;MID;Prio 2 GUT;;Pflanzenvermehrung: Kunden sind Gärtnereien/Agrar, gelegentlich | Pflanzenvermehrung: Biotech-Entwicklungsprojekte (In-vitro, Gewebekultur)
A;01;01.4;01.41;Raising of dairy cattle;;1;2;2;2;1;2;5,6;MID;Pruefen;;Milchvieh: Kunden sind Molkereien, professionell aber regional | Milchvieh: Stallbau-Projekte, Melkanlagen-Installation
A;01;01.4;01.42;Raising of other cattle and buffaloes;;1;1;1;2;1;2;4,3;MID;Pruefen;;Rinderhaltung: Stallbau, Futteranlagen
A;01;01.4;01.43;Raising of horses and other equines;;1;2;2;2;1;2;5,6;MID;Pruefen;;Pferdehaltung: Stallanlagen
A;01;01.4;01.44;Raising of camels and camelids;;0;0;0;0;0;0;0,0;---;---;;Kein EU-Markt
A;01;01.4;01.45;Raising of sheep and goats;;1;1;1;2;1;2;4,3;MID;Pruefen;;Schaf/Ziegen: Stallbau
A;01;01.4;01.46;Raising of swine/pigs;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Schweinehaltung: Stallbau-Projekte, Lueftungsanlagen – Engineering-Nachfrage
A;01;01.4;01.47;Raising of poultry;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Gefluegelhaltung: Stallbau, Klimatisierung, Futtermanagementsysteme – groesseres Volumen
A;01;01.4;01.49;Raising of other animals;;1;3;3;2;1;2;6,8;MID;Prio 2 GUT;;Insektenzucht/Aquakultur: neue Kunden ohne Erfahrung | Sonstige Tierhaltung: Aquakultur-Anlagen
A;01;01.5;01.50;Mixed farming;;1;1;1;2;1;2;4,3;MID;Pruefen;;Gemischte Landwirtschaft
A;01;01.6;01.61;Support activities for crop production;;2;3;3;3;1;2;8,1;HI;Prio 1 TOP;;Lohndienstleister fuer Ernte: Kunden sind Landwirte, fragmentiert, Einmal-Buyer | Agrar-Dienstleister: Praezisionslandwirtschaft, Drohnen, Bodenanalyse – B2B-Projekte
A;01;01.6;01.62;Support activities for animal production;;1;2;2;2;1;2;5,6;MID;Pruefen;;Tier-Dienstleistungen: Stallbau-Consulting
A;01;01.6;01.63;Post-harvest crop activities;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Nachernte: Lageranlage-Projekte, Kuehlhaeuser
A;01;01.6;01.64;Seed processing for propagation;;2;3;3;3;1;2;8,1;HI;Prio 1 TOP;;Saatgut: Kunden sind F&E-Abteilungen | Saatgutverarbeitung: Anlagenprojekte fuer Sortierung/Behandlung
A;01;01.7;01.70;Hunting, trapping and related service activities;;0;0;0;0;0;0;0,0;---;---;;Kein relevanter B2B-Projektmarkt
;Abt. 02;;;;;;;;;;;;;;;
A;02;02.1;02.10;Silviculture and other forestry activities;;1;2;2;2;1;2;5,6;MID;Pruefen;;Forstwirtschaft: Forstmaschinen-Wartung, GPS-Systeme
A;02;02.2;02.20;Logging;;1;2;2;2;1;2;5,6;MID;Pruefen;;Holzeinschlag: Maschinen-Engineering
A;02;02.3;02.30;Gathering of wild growing non-wood products;;0;0;0;0;0;0;0,0;---;---;;Kein B2B-Projektmarkt
A;02;02.4;02.40;Support services to forestry;;1;2;2;2;1;2;5,6;MID;Pruefen;;Forst-Dienstleistungen
;Abt. 03;;;;;;;;;;;;;;;
A;03;03.1;03.11;Marine fishing;;2;1;1;2;1;2;5,2;MID;Pruefen;;Seefischerei: Schiffstechnik-Projekte, Ortungssysteme
A;03;03.1;03.12;Freshwater fishing;;1;1;1;2;1;2;4,3;MID;Pruefen;;Suesswasserfischerei
A;03;03.2;03.21;Marine aquaculture;;2;3;3;3;2;2;8,4;HI;Prio 1 TOP;;Meeresaquakultur: Kunden sind neue Betreiber ohne Erfahrung | Meeresaquakultur: Anlagenbau, RAS-Systeme – wachsender Markt, Buyer ohne Netzwerk
A;03;03.2;03.22;Freshwater aquaculture;;2;3;3;3;1;2;8,1;HI;Prio 1 TOP;;Suessw.Aquakultur: Kunden oft Einmal-Investor | Suesswasseraquakultur: Kreislaufanlagen (RAS) – Spezialengineering
ABSCHNITT B – Mining and Quarrying;;;;;;;;;;;;;;;;
;Abt. 05;;;;;;;;;;;;;;;
B;05;05.1;05.10;Mining of hard coal;;1;2;2;1;1;2;5,1;MID;Pruefen;WARNUNG;Kohle: Rueckbau-Projekte, Kunden sind Bergbaugesellschaften | WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Kohle: auslaufend – sehr wenige Projekte
;Abt. 06;;;;;;;;;;;;;;;
B;06;06.1;06.10;Extraction of crude petroleum;;2;1;1;1;2;2;4,9;MID;Pruefen;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Oelfoerderung: PSL dominiert, reife Industrie – wenig Potenzial
B;06;06.2;06.20;Extraction of natural gas;;2;1;1;1;2;2;4,9;MID;Pruefen;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Gasfoerderung: aehnlich Oel
;Abt. 07;;;;;;;;;;;;;;;
B;07;07.1;07.10;Mining of iron ores;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Eisenerz: Engineering-Projekte, aber PSL vorhanden
B;07;07.2;07.21;Mining of uranium and thorium ores;;3;2;2;2;1;2;7,2;HI;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Uran: Nuclear Revival – sehr reguliert, kleiner Markt
B;07;07.2;07.29;Mining of other non-ferrous metal ores;;3;3;3;3;2;3;9,7;HI;Prio 1 TOP;WARNUNG;CRM Mining: Kunden sind neue Projektgesellschaften ohne Erfahrung | WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Lithium/Kobalt/Nickel: CRM Act EU – neue Bergbauprojekte, Buyer ohne Netzwerk
;Abt. 08;;;;;;;;;;;;;;;
B;08;08.1;08.11;Quarrying of ornamental and building stone, limestone, gypsum, chalk, slate;;1;2;2;2;1;2;5,6;MID;Pruefen;;Steinbruch-Engineering
B;08;08.1;08.12;"Operation of gravel and sand pits; mining of clays and kaolin";;1;2;2;2;1;2;5,6;MID;Pruefen;;Kies/Sand-Anlagen
