airtable_id,Base Model Extensions,Products,base_model_id,agv_type,base_model_name,last_updated,oem_link_public
rec06rtbvRakwF5Tb,recGk4yGHY3miCZoO,recYnxUBL1KpnvJF3,8db78fbb-459c-4ee7-9acd-580c8ed3b37c,Mobile AMR,STILL ACH 06 iGo,,
rec1BqgdLzrnMBiSU,rec33DiQVU7aOiWr7,recSKOe7cPWoZYNQD,94fded76-8709-4cff-9e7c-aa8d2e8c6b9d,Mobile AMR,Hikrobot Q7-1000E,,
rec1R7qiEwT4DywjK,recEPHkVCTjOJH5Ml,recSOWm3vTMO6zFrH,7f84bef8-680b-4dc9-b468-7257773f0ef3,Forklift AGV,Toyota OAE120CB Autopilot,,
rec1kPgYb9nFB7uNO,rec1MgoaOAnLmA6Vr,receEbW22WooBZAEk,28670caa-ba80-43b8-af0c-a9a89f121d26,Forklift AGV,VisionNav VNP20,,
rec2HoRXotWZqq1mf,rec4PtfgRTcGmsj6W,reckMaoTZHzPe4hlL,cd4614c2-3eba-4460-a8c8-eef5be99efbe,Forklift AGV,DS AMADEUS Counter,,
rec2LwEsJe3PJuGyL,recPydW1kHaucSsnC,recAVdbFctgVfTHak,f6bb5ed6-1c6b-4094-9e35-e0c90edde119,Mobile AMR,Open Shuttle,,
rec2R1yZKGjq8psS9,rec691GQcUNjWGqsv,recfdraQR3Kpi2WcK,b725ced6-fdd1-40c9-ade2-20c6a2557521,Mobile AMR,STILL ACH 10 iGo,,
rec2Vn6bJpLSvTp6d,rec3b3HCslXekuA2B,recBo0OThLh3bxU2W,18394345-99ee-4c54-a29a-5f2530a7298b,Mobile AMR,Omron HD-1500,,
rec2fb9FzQa0CTG5k,recJeDduq9eB9VecD,recRuuelHtm5sbvmq,ed1c1ba8-65d3-4989-a824-c8ad6046b1e9,Mobile AMR,MiR1200 Pallet Jack,,
rec2uenygLNSh1e9Y,recRuG3djJBE9sEq0,recfcRxcQIaJqdy3A,,Mobile AMR,CompactMover Conveyor U 400,2026-06-30,true
rec3Ap6W3lZ4p3VsD,recJ311ZjZIK6KxVq,rec4WlUa1jurx6Zjb,4ebea060-6804-4bc1-9e2d-bfc6fa1c3425,Mobile AMR,Geek+ RoboShuttle (C200/C200M),,
rec3QiQ6IrVLBYfPu,rec4Fmh441M4ujz4o,recllor0QKpCLXVyM,00df0597-cb56-4a09-b297-1ba029cce83c,Forklift AGV,Alstef GF12,,
rec3ivjESdsqhWZiO,reclrl367t3uguXqQ,recjFjiwOGE3qQNHv,862a9b0b-e5fb-4e60-b21c-1b2a94733d07,Mobile AMR,Geek+ RoboShuttle RS8-DA,,
rec42NUgeoXd8kcYT,recOBrm1P6yhkgqTY,recD4giYBivH6oCr5,2498c3c6-917b-45a2-abdc-288c6fcef267,Mobile AMR,ek robotics X MOVE 600,,
rec4TE7c7GTwzZrLB,recKe0h9WWq1LnLda,recmbicmJy4sUt709,48bf9b58-26a3-4b77-a12e-99d92775bb1f,Mobile AMR,Geek+ MP1000R,,
rec53SCE0HNIV3f9W,recxPVsrpzf3CqBl6,recqobxlZo2zBzBSb,380e5789-9d8a-4134-8090-386ee613f39f,Mobile AMR,SAFELOG AGV L2,,
rec6AltmygpSpDhFz,rec1g3cOwQQ1kZ8bi,recvYeXA1tJU9MrDo,062f63d4-b153-4169-a805-137a839ad66c,Forklift AGV,Stäubli FL1500,,
rec6DCegcXTgpokxN,recbLzZwAgg2gKx61,reciyGeh0rnADM6OK,79c41628-b401-461c-84bd-e498240a13e5,Mobile AMR,Linde C-MATIC HP,,
rec6gLXAHVPXCoQ8J,recKbwew3rSmFYow1,recGizdd9YCk4hF6M,be3e736a-ce9c-4ef6-bcd2-698acd19a38f,Mobile AMR,Movu ifollow iL300,,
rec6oewmtwl7jLKbq,rectbk9yv3dLaLnh8,recF25qEvpTL0dMDA,c3e34c4e-77be-4722-a4e4-dee2a258f62b,Tugger AGV,STILL LTX 50 iGo,,
rec7J4Z8BzlVFJuBw,recTwmTU1Z44x32x4,recckWiaNif9yMC9q,eebd8430-4b55-4132-9f4c-af652e8e1a02,Mobile AMR,DS SALLY,,
