airtable_id,website,languages_spoken,export_capable,company_name,company_id,employee_count_range,country,last_updated,hq_city,Products,fleet_size_vehicles,all_sites,email,service_coverage,founding_year,hq_address,certifications_generic,hq_maps_link,contact_person,phone
rec1ZqbEZI1N1xhER,https://ek-robotics.com,DE|EN|IT|+local,true,ek robotics,d97365dd-444b-47c8-a2f6-40c164b197bd,250–1000,DE,2026-06-16,Hamburg,recD4giYBivH6oCr5|recgSihdzgVW9HI0K|rec2IUfk95Z2WJfCu|rec9xWFLoWit2EYTN|rec0aDuAd3Rjj0ASZ|rectuteRYBMxpIVUQ|recaVRWaNUTMx5b6c,,,,,,,,,,
rec3kotWF4mpX7RTU,https://mobile-industrial-robots.com,EN|DE|ES|DK (+local),true,Mobile Industrial Robots A/S (MiR),acc9a753-1d6e-40f6-98ac-013981d9eaea,250–1000,DK,2025-05-01,Odense,recXwKYIHmb6IhqSX|recC2LqUqEwPpnfA4|recRuuelHtm5sbvmq|rec6p6yzB3sPFh14S|rec2UVukgFrZ9nDeB|recJh6VpBf7pF9pAd|recT8iyRBRd8FM7It|recoszHbsDcBeFOLG|recHFGjs1oVUhtneB,"~10,000 robots deployed (2022)","HQ Odense (DK) | EU: Frankfurt (DE), Barcelona (ES) | US: San Diego, North Reading MA, Novi MI, Georgetown KY | APAC: Singapore, Yokohama, Seoul, Shanghai | ~220 distributors in 60 countries",(via contact form / regional sales),EU|Global,2013,"Emil Neckelmanns Vej 15F, 5220 Odense SØ, Denmark",ISO 3691-4|ISO 13849-1|UL 3100|CE,https://maps.google.com/?q=Emil+Neckelmanns+Vej+15F+5220+Odense+Denmark,(part of Teradyne Robotics),+45 reception (via website)
rec4U8V9R8zqmsUXE,https://www.elettric80.com,IT|EN|ES|DE,true,E80 Group S.p.A. (Elettric80),2c608686-f355-4add-8cab-b4dc908b9814,250–1000,IT,2025-05-01,Viano,reczBwJBRd6hDm7c4|recjhG3pLc2zfWkT5|recXzSJ5hlaGq566a|recAlc4xa4qrup1x2|recnH3ITBGXrP0mc1|recYq2gEary73qL9U,verify (project-based; thousands of LGVs in FMCG),HQ Viano (IT) | E80 Group plants in Italy | North American ops (US) | subsidiaries worldwide for FMCG/beverage/tissue,elettric80@elettric80.it,EU|Global,1980,"Via Marconi 23, 42030 Viano (Reggio Emilia), Italy",ISO 9001|CE,https://maps.google.com/?q=Via+Marconi+23+42030+Viano+Reggio+Emilia+Italy,(sales via website),+39 0522 760011
rec6ZXJKuQT7vjuL8,https://www.guentner.de,DE|EN,true,Güntner GmbH & Co. KG,e3b155e7-8db4-40b6-90a5-9aa75a0d674e,1000–10000,DE,2026-07-14,Fürstenfeldbruck,recwATOVffa9uIUed,,,,,,,,,,
rec6rUDyeGz1KEUZR,https://www.knapp.com,,,KNAPP AG,de43855f-0f27-4e11-8567-6fbc5989ad2b,,AT,,,rec87yYTnrxwaPx7s|recAVdbFctgVfTHak|recxfxvERSmDQzIOI|reca1GQFwaHE21i6l|recLnmxO0MRNQjWxx,,,,,,,,,,
rec7yndnVdYy5eTUb,https://www.kivnon.com,ES|EN|DE|FR,true,KIVNON Logística S.L.,273b1859-a84a-46a4-ada2-bb40bb9d09ac,50–250,ES,2025-05-01,Barberà del Vallès,reccBLY9iW4QQRt2K|rec6RZNgNykFCpoJL|recscBzwEZ4jwJywP|recNxanyZi9KPsou0|recEcy5XFVnbJ0cg6|recYcysTwL4PFQQ7s|recr14QNE3J4m3pp5|recJG9UeqygYcDizI|recIfvAJu1RaFBX0q|recmf8Zcb8EwGLqRE,verify (13+ yrs operation),HQ Barberà del Vallès / Barcelona (ES) | subsidiaries / partners in EU + Americas,info@kivnon.com,EU|Global,2009,"C/ Puig del Tudons 6, 08210 Barberà del Vallès (Barcelona), Spain",CE|TÜV|EU Machinery Directive 2006/42/EC,https://maps.google.com/?q=Carrer+Puig+del+Tudons+6+08210+Barbera+del+Valles+Barcelona+Spain,(sales via website),+34 937 19 21 39 (verify)
rec8FExjRRo6svtHS,https://www.staubli.com,,,Stäubli,16f491af-c18b-4150-aeab-ba022a33a8de,,,,,recvYeXA1tJU9MrDo|rec6Tk4j0bG0idH01|recPRYwuEwm1iBk4q|rec8JMIgCnSWXfD7E|recdhTWXqRxJEL1Lk,,,,,,,,,,
rec8aaW4EIEDGlEe0,https://www.linde-mh.com,DE|EN|FR|+local,true,Linde Material Handling,8099078a-46a1-4848-b9f8-8592f7455f04,>1000,DE,2026-06-16,Aschaffenburg,reclw8cUNcXvRhivV|reciyGeh0rnADM6OK|recVFJSFy3mQNmkbv|rec4vUCBGvD3cmlHQ|recrd7nL2NIJN93Tj|rec1LYS1VJxlfxmrB|recr27ZALy2fIoJEW|rec08IgXMSePQKs0O|recGkc7ZPQjkNkDeO|reccrWdXudV5YAo76|recOwYNex0xBasPU6,,,,,,,,,,
rec8blP7rKmtibWcx,https://www.oceaneering.com/mobile-robotics,,,Oceaneering Mobile Robotics,168e2985-7f3c-4ca7-b018-28b943aa8e1d,,US,,Houston,recMbLLjK4yANcqqV|reca0ABBd5AOocuCQ|recVF2rebPvDJ8DSd|rec6zhk7G48cHRhyy|recpdVMhD5Odrp3sC|recfcRxcQIaJqdy3A,,,,,,,,,,
rec8puMCz7RojpCwA,https://www.hikrobotics.com,ZH|EN|+local,true,Hikrobot,348154cf-cd2a-4cea-88d5-c79f2b4d3bb8,>1000,CN,2026-06-16,Hangzhou,recV7jCiGf0qnVPXi|recTUZMoqt7vmBjzK|rec66qWw2vewVocy4|recTcRPF4cV0c7vWi|recfwNCI8tzbSpPtU|recdyBvH9MMT2kie2|rec9AsznRkerzqrVy|recaXw0UX3UW8gGMr|recTU15WIPucbCLoc|recSKOe7cPWoZYNQD,,,,,,,,,,
