airtable_id,agv_type,product_name,service_coverage,source_notes,active,company_id,product_id,is_oem_product,base_model_id,product_description,distribution_model
rec08IgXMSePQKs0O,Forklift AGV,Linde L-MATIC AC k,EU,"linde-mh.com L-MATIC AC k. Counterbalanced pallet stacker AGV, 1400kg, lift 3800mm, aisle ~3400mm, SLAM. OEM: Balyo LOWY CB. HIGH confidence.",true,rec8aaW4EIEDGlEe0,1c2146e2-5bd4-4d88-84f6-09e036430787,true,recXbLRKljndY6u0f,,
rec0JL0NAukuveYN2,Forklift AGV,VisionNav VNR20,EU,"visionnav.com VNR20. Reach truck AGV, 2000kg, lift 7000mm std (opt 11200mm), aisle 3300mm, 2.0 m/s. HIGH confidence.",true,recukyJanezH7UdIk,42acfa9b-7357-411f-bb92-2ef7c499db02,,recwCTSi3CajaaqET,,
rec0aDuAd3Rjj0ASZ,Mobile AMR,ek robotics FAST MOVE,EU,ek-robotics.com FAST MOVE. Low-profile omnidirectional platform AGV (up to 2m length; roller conveyor / lift table / traction pin options). Payload/speed not published — NULL. HIGH type confidence.,true,rec1ZqbEZI1N1xhER,7b800763-8364-4c66-8a75-57617dd2dbac,,recsvkJ4SuHPF2vC4,,
rec1LYS1VJxlfxmrB,Forklift AGV,Linde L-MATIC HD k,EU,"linde-mh.com L-MATIC HD k. Heavy-duty pallet stacker AGV, 1600kg, lift 3000mm (Balyo)/3800mm (Linde page conflict — use 3000mm), SLAM. OEM: Balyo LOWY HD. MEDIUM confidence on lift height.",true,rec8aaW4EIEDGlEe0,a7853020-12b7-45dd-a831-0ba42857c571,true,recNOmm3VyDfhttw6,,
rec1ZqlTiFr4tEVfD,Forklift AGV,VisionNav VNST20,EU,"visionnav.com VNST20. Slim pallet stacker AGV (low-lift), 2000kg, lift 115mm (jacking only, not racking), aisle 2250mm, 1.8 m/s. HIGH confidence. Lift is jacking stroke, not mast height.",true,recukyJanezH7UdIk,211ded7b-5fbc-4f42-8cb1-d06dbb9cfd92,,recnsmsKBTLxkE3B6,,
rec292jmvk1mUTP2z,Mobile AMR,Omron LD-60,EU,"Compact transport AMR, 60kg payload. Natural Feature SLAM, no facility modifications required. PLd safety per ISO 13849-1; UL3100 and ISO 3691-4 certified. Battery LiFePO4 72Ah, 12h runtime at full payload, 130-min charge (20-80%). Cleanroom ISO 5 / Class 100 rated. Stop accuracy ±25mm standard target; ±8mm with CAPS/HAPS precision docking. Max slope 8.3% at ≤60kg payload. Fleet FLOW Core max 100 robots; multi-vendor Unified Fleet License supported. LD-60/90 share the same 698×500mm platform.

Source: https://assets.omron.eu/downloads/datasheet/en/v5/i639_ld-series_mobile_robots_datasheet_en.pdf",true,receHK0TwbfKpgoWJ,7d29e142-22ae-421d-be24-b23dbb7f5205,,recKQlKptnWIwZuc5,"Compact transport AMR, 60kg payload. Natural Feature SLAM, no facility modifications required. PLd safety per ISO 13849-1; UL3100 and ISO 3691-4 certified. Battery LiFePO4 72Ah, 12h runtime at full payload, 130-min charge (20-80%). Cleanroom ISO 5 / Class 100 rated. Stop accuracy ±25mm standard target; ±8mm with CAPS/HAPS precision docking. Max slope 8.3% at ≤60kg payload. Fleet FLOW Core max 100 robots; multi-vendor Unified Fleet License supported. LD-60/90 share the same 698×500mm platform.",
rec2IUfk95Z2WJfCu,Forklift AGV,ek robotics COMPACT MOVE CB 25,EU,"Counterbalanced forklift AGV. Maximum payload 2500 kg (CB 25), lifting height 5500mm. Hybrid navigation: 'precise laser navigation' (Laser Reflector primary) + 3D camera system for pallet placement at up to 5.5m without errors (load detection). Also available in CB 10 (1000/1200kg) and CB 16 (1600kg) variants. 4-fork configuration available for double-pallet handling. Safety scanner coverage in lateral/front zones. Fleet: Transport Manager (centralized). Battery type not confirmed. forks_free_floating=TRUE (counterbalanced rule). load_detection=Camera/Vision (3D camera for remote pallet placement).

Source: https://ek-robotics.com/en/transport-robots/compact-move/",true,rec1ZqbEZI1N1xhER,c33b097c-fd49-40c6-a24c-e1321381f382,,recTsTXec3P9jHKS0,"Counterbalanced forklift AGV. Maximum payload 2500 kg (CB 25), lifting height 5500mm. Hybrid navigation: 'precise laser navigation' (Laser Reflector primary) + 3D camera system for pallet placement at up to 5.5m without errors (load detection). Also available in CB 10 (1000/1200kg) and CB 16 (1600kg) variants. 4-fork configuration available for double-pallet handling. Safety scanner coverage in lateral/front zones. Fleet: Transport Manager (centralized). Battery type not confirmed. forks_free_floating=TRUE (counterbalanced rule). load_detection=Camera/Vision (3D camera for remote pallet placement).",
rec2UVukgFrZ9nDeB,Mobile AMR,MiR250 Hook / Top modules,EU|Global,gibsonengineering.com/mir; log-robot.com MiR Hook250,true,rec3kotWF4mpX7RTU,24d256ca-dae7-4f3b-a7a5-a14aebfddb90,true,rec7tpbXiRh3wMomK,MiR250 with Hook/Shelf-Lift/Pallet-Lift/Top-Roller modules; cart towing via April Tags; modular platform,Direct|Dealer Network
rec2uouKhz5d0bS3d,Tugger AGV,SAFELOG AGV M4,EU,"safelog.de AGV M4. Handling/tugger AGV, 200kg own payload, 1500kg towing, 1.6 m/s. MEDIUM.",true,recFnzzgpAvw62jDy,26679072-03e3-47db-bd24-93f7c7bf370d,,rechWe925vnzYdb9G,,
rec3LAWOnptQyA0Qd,Forklift AGV,Toyota Staxio SAE160 Autopilot,EU,"Walkie stacker — Straddle Stacker type (support arms/legs straddle the load). Specs from official Toyota datasheet (TP-746908-040, v13, 2019-03-05). Two mast configs: SAE160 Duplex Tele (h23 lift 2350mm) and Triplex Hi-Lo (h23 lift 4700mm, free lift 1592mm) — entry uses the Triplex Hi-Lo (max-lift) variant. Overall width 930mm; overall length 2261mm (DX Tele, 1200 fork, large battery compartment). Travel speed auto mode 8.0 km/h drive direction (2.22 m/s); 1.1 km/h fork direction (4.3 km/h with optional fork-direction scanner). Max gradeability 6% laden / 10% unladen. Battery 24V/500Ah lead-acid standard (345-403 kg); auto-charging Li-Ion optional. Sideway battery change → battery_swap_capable=1. 'Laser precision navigation' — Toyota Autopilot range supports reflector OR natural OR dual; navigation_type set to dual, infrastructure_required left null (config-dependent). Min aisle width (auto mode, rotate-on-point, PPS muted, 800×1200 short-side, DX Tele) = 2686mm per datasheet (AU product page's 3200mm figure superseded). Load detection & fork-tip sensors (Mechanical/Tactile). Manual handling supported (Automatic/Pedestrian operator type). Onboard information display. Laser class 1 (IEC 60825-1); sound <70 dB(A) per EN 12053. Safety: CAT3 PLd. Op temp 0–40°C.

Source: https://toyota-forklifts.eu/globalassets/50-local-library/cz/downloads/agv-technicke-listy/sae160-technicky-list.pdf/",true,recxPqJCeWxlTqf4V,455f700a-8c08-4674-ac32-fba975eed726,,rec8Msw5GBuVC1J3g,"Walkie stacker — Straddle Stacker type (support arms/legs straddle the load). Specs from official Toyota datasheet (TP-746908-040, v13, 2019-03-05). Two mast configs: SAE160 Duplex Tele (h23 lift 2350mm) and Triplex Hi-Lo (h23 lift 4700mm, free lift 1592mm) — entry uses the Triplex Hi-Lo (max-lift) variant. Overall width 930mm; overall length 2261mm (DX Tele, 1200 fork, large battery compartment). Travel speed auto mode 8.0 km/h drive direction (2.22 m/s); 1.1 km/h fork direction (4.3 km/h with optional fork-direction scanner). Max gradeability 6% laden / 10% unladen. Battery 24V/500Ah lead-acid standard (345-403 kg); auto-charging Li-Ion optional. Sideway battery change → battery_swap_capable=1. 'Laser precision navigation' — Toyota Autopilot range supports reflector OR natural OR dual; navigation_type set to dual, infrastructure_required left null (config-dependent). Min aisle width (auto mode, rotate-on-point, PPS muted, 800×1200 short-side, DX Tele) = 2686mm per datasheet (AU product page's 3200mm figure superseded). Load detection & fork-tip sensors (Mechanical/Tactile). Manual handling supported (Automatic/Pedestrian operator type). Onboard information display. Laser class 1 (IEC 60825-1); sound <70 dB(A) per EN 12053. Safety: CAT3 PLd. Op temp 0–40°C.",
