AGV/AMR Criteria;;Example ansers;DEMATIC Tugger AGV;DEMATIC Freezer AGV;GEEK+ P500;GEEK+ RS11-DX;GEEK+ M200C;GEEK+ F12ML;GEEK+ S20C-A-2;BALYO VEENY;BALYO REACHY;BALYO LOWY CB;BALYO LOWY;BALYO LOWY HD;STILL LTX 50 iGo;STILL EXV iGo;STILL FM-X iGo;STILL MX-X iGo;STILL AXV 12 iGo;ELECTRIC80 TRILATERAL LGV;ELECTRIC80 REACH LGV;ELECTRIC80 QUAD LGV;ELECTRIC80 ELEPHANT LGV;ELECTRIC80 UNICORN LGV;JBT ATL;JBT JayBoT;JBT ATLIS 3000;JBT Counterbalance;TOYOTA Mouse and Mole;TOYOTA Core Tow Tractor;TOYOTA CB18;TOYOTA M10 Tug AV;TOYOTA ML2 Mini Load AV;MiR MiR250;MiR MiR600;MiR MiR1350;MiR MiR1200 Pallet Jack;AGILOX ONE;AGILOX OCF;AGILOX ODM;AGILOX OFL;AGILOX OPS
Company Name;;AGV Company;DEMATIC;DEMATIC;GEEK+;GEEK+;GEEK+;GEEK+;GEEK+;Balyo;Balyo;Balyo;Balyo;Balyo;Still;Still;Still;Still;Still;Electric80;Electric80;Electric80;Electric80;Electric80;JBT;JBT;JBT;JBT;Toyota;Toyota;Toyota;Toyota;Toyota;MiR;MiR;MiR;MiR;AGILOX;AGILOX;AGILOX;AGILOX;AGILOX
Origin;;Estonia;United States   ;United States   ;China   ;China   ;China   ;China   ;China   ;France   ;France   ;France   ;France   ;France   ;Germany   ;Germany   ;Germany   ;Germany   ;Germany   ;Italy   ;Italy   ;Italy   ;Italy   ;Italy   ;United States   ;United States   ;United States   ;United States   ;United States   ;United States   ;United States   ;United States   ;United States   ;Denmark   ;Denmark   ;Denmark   ;Denmark   ;Austria   ;Austria   ;Austria   ;Austria   ;Austria   
Website;;www.agv.com;www.dematic.com   ;www.dematic.com   ;www.geekplus.com   ;www.geekplus.com   ;www.geekplus.com   ;www.geekplus.com   ;www.geekplus.com   ;www.balyo.com   ;www.balyo.com   ;www.balyo.com   ;www.balyo.com   ;www.balyo.com   ;www.still.de   ;www.still.de   ;www.still.de   ;www.still.de   ;www.still.de   ;www.e80group.com   ;www.e80group.com   ;www.e80group.com   ;www.e80group.com   ;www.e80group.com   ;www.jbtc.com   ;www.jbtc.com   ;www.jbtc.com   ;www.jbtc.com   ;www.toyotaforklift.com   ;www.toyotaforklift.com   ;www.toyotaforklift.com   ;www.toyotaforklift.com   ;www.toyotaforklift.com   ;www.mobile-industrial-robots.com   ;www.mobile-industrial-robots.com   ;www.mobile-industrial-robots.com   ;www.mobile-industrial-robots.com   ;www.agilox.net   ;www.agilox.net   ;www.agilox.net   ;www.agilox.net   ;www.agilox.net   
Email Address;;sales@agv.com;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Contact Name;;Jack Sales;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Sector;;Automation and Intralogistics;Intelligent intralogistics & Material Handling Solutions   ;Intelligent intralogistics & Material Handling Solutions   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Intralogistics   ;Intralogistics   ;Intralogistics   ;Intralogistics   ;Intralogistics   ;Intralogistics / Automated Logistics Solutions   ;Intralogistics / Automated Logistics Solutions   ;Intralogistics / Automated Logistics Solutions   ;Intralogistics / Automated Logistics Solutions   ;Intralogistics / Automated Logistics Solutions   ;Automated Systems   ;Automated Systems   ;Automated Systems   ;Automated Systems   ;Material Handling   ;Material Handling   ;Material Handling   ;Material Handling   ;Material Handling   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   ;Mobile Robotics   
Sub Sector;;Mobile Robotics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Place of operation;;Europe;Worldwide   ;Worldwide   ;Worldwide (40+ countries)   ;Worldwide (40+ countries)   ;Worldwide (40+ countries)   ;Worldwide (40+ countries)   ;Worldwide (40+ countries)   ;Worldwide (USA, Singapore, China, Australia)   ;Worldwide (USA, Singapore, China, Australia)   ;Worldwide (USA, Singapore, China, Australia)   ;Worldwide (USA, Singapore, China, Australia)   ;Worldwide (USA, Singapore, China, Australia)   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide   ;Worldwide (25+ countries)   ;Worldwide (25+ countries)   ;Worldwide (25+ countries)   ;Worldwide (25+ countries)   ;United States   ;United States   ;United States   ;United States   ;United States   ;Worldwide (60 countries)   ;Worldwide (60 countries)   ;Worldwide (60 countries)   ;Worldwide (60 countries)   ;Worldwide (incl. US, China, Germany, France)   ;Worldwide (incl. US, China, Germany, France)   ;Worldwide (incl. US, China, Germany, France)   ;Worldwide (incl. US, China, Germany, France)   ;Worldwide (incl. US, China, Germany, France)   
OEM;;Hyster Yale;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"Linde Material Handling; Hyster-Yale Group   ";"Linde Material Handling; Hyster-Yale Group   ";"Linde Material Handling; Hyster-Yale Group   ";"Linde Material Handling; Hyster-Yale Group   ";"Linde Material Handling; Hyster-Yale Group   ";N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Internal (Toyota Industrial Equipment Mfg.)   ;Internal (Toyota Industrial Equipment Mfg.)   ;Internal (Toyota Industrial Equipment Mfg.)   ;Internal (Toyota Industrial Equipment Mfg.)   ;Internal (Toyota Industrial Equipment Mfg.)   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
